[43, "listening to sad s\n"]
[191, "\"*glorious but sad\n"]
[413, "\"@aliroves That's so sad\n"]
[607, "Anyone else sad there is no more  until November?\n"]
[712, "i'm sad coz our  training was canceled for today...\n"]
[943, "im sooo sad i didnt get to eat lc's with @ems\n"]
[948, "it's only june and i'm already sad I'm not coaching  this summer...\n"]
[1146, "\"...The end of the year [ year] is always sad\n"]
[1315, "@alopink my started five yrs ago this month during summer   aww sad story\n"]
[1524, "oh nooo crying time..this part of the  is so sad\n"]
[1527, "- sad that i'm not going pub quiz boozing again this week.  will have to settle for a bottle of ale and a\n"]
[1540, "the columbus blue jackes may be ing to anew city to play at  thats sad news\n"]
[1591, "&quot;Lars and the Real Girl&quot; is such a sad and lonely .  I'm so flipping Emo tonight.\n"]
[1612, "&quot;UP&quot; was a reeaaaaaalllllllllyyy sad\n"]
[1642, ".. Well that was a sad .\n"]
[1706, "@_Snow_White ofcourse i rather the ! wonder if i could rock up in pj's tomorrow... last day... am so sad\n"]
[1796, "@ALLTHEWEIGH loved the  sad ending\n"]
[1998, "@billy_burke  You better be in the ...I'll be sad\n"]
[2178, "About to see Moon. So sad I cant get a picture of this guy with a sparkly sequined  cap.\n"]
[2358, "\"@Herrminator How about something sad\n"]
[2361, "I am sad that I will not be able to watch more UGA  this year\n"]
[0, "is so sad for my APL friend.............\n"]
[20, "Very sad about Iran.\n"]
[941, "feeling a litle sad\n"]
[942, "feeling all sad leaving mumbai...\n"]
[1037, "\"- @PJ - @alexjreid's family friend who died is also my old art teacher  very sad\n"]
[1150, "3.2 PTR possibly this week. That makes me a sad panda. I spent 4k gold total to level my enchanting and I won't be able to farm titanium.\n"]
[1730, "Diego makes Tori sad that she FAILS ! Anti-depressant pills ftw. NOT!\n"]
[1737, "dont get to see my boys tomorroww.im sad\n"]
[1902, "feeling sad that rapidshare.com acct has bn expired... #fb\n"]
[1972, "idk why i 'm so sad  i need to somone right now\n"]
