[48, "#iremember learning the Big Mac  long before the Oscar Meyer . Bologna was so hard to spell.\n"]
[418, "\"@alls I just did a wake&amp;bake and put on Phish's show from 2 nights ago. haven't done it in a long time\n"]
[667, "@DYNASTYLA24 me too! Four months is such a long time without\n"]
[913, "and the long awaited  match is once again postponed\n"]
[959, "long time not playing\n"]
[1271, "@acrylicana  I'm trying... I forget how... stupid  being so long ago!\n"]
[1324, "@alexandramusic we (L) u!! I've been stuck in   hah. How long till the album drops?\n"]
[1433, "@BariJ No I was a dental Assistant and a Receptionist in a dental practice. I wanted to go to Hygiene  a long time ago tho\n"]
[1633, "*sigh* Study study study. Wish I had more time to myself! I need a haircut. Having a few  marathons over the long weekend. Fun times\n"]
[1984, "\"@BellaBKNY took a long nap earlier\n"]
[757, "\"- @fontenot619 Hey you! @PoisonGirl10 How long will you be on? @summerblonde83 Thx! @Nic0pic0 hehehe yw ;) @sevgli Yeah\n"]
[831, "Content.&quot;made a pac lets see how long it last&quot;\n"]
[1094, "Great...rosie was sooo close to getting her long overdue 'rosie day' but now has to wait.....til another day...sadness\n"]
[1161, "a pony's clop-clopping down the hill (heard him long before i saw him). this would so not happen in Brooklyn barring a cop on horseback.\n"]
