[93, "\"&gt; i'm gomna do today  - making breakfast\n"]
[98, "\"&quot;got the news today\n"]
[100, "&quot;har ghadi mujhe jiska nasha hai ek bewafaa hai&quot;  This is my  today\n"]
[140, "&quot;I can taste you on my lips and smell you in my clothes.&quot; That s seems appropriate today\n"]
[172, "#musicmonday a lot of s for today\n"]
[385, "@alyankovic My iPod loves you Mr. Y - today on shuffle every other  was one of yours. Wouldn't have it any other way. Kept me smiling\n"]
[589, "...relaxing after playin 6  games today\n"]
[603, "today then off to finsih off my hirtosy assignment\n"]
[622, "bout to have breakfast! didnt do too good at the gym today  was still too tired from  last night... will go again later!\n"]
[650, "had my last  game today\n"]
[688, "I havent slept in 24 hours and I played  today I am dead tired but I cant fall asleep\n"]
[701, "i see that our opponents @adam have a twitter account too. They will be beaten in their own town today\n"]
[711, "I would much rather #militarymon trend than  and cell phones. Many blessings and thanks to our troops today\n"]
[815, "No  today\n"]
[820, "not playing  today because of homework and no free courts\n"]
[823, "\"oh man today was fun. target with jas and stef\n"]
[825, "ok I don't think I can go to the gym today cuz I have a  camp for today and tomorrow at 7\n"]
[928, "froze at our summer picnic today . . played some  but no soccer\n"]
[950, "Just dropped Bob off at  camp.  Now on to more cleaning.  Hopefully I'll get my ATM card back today\n"]
[973, "Ohh!! I fell in my school today playing   Ouch!!!!!\n"]
[976, "Okay.  I'm watching  finals while working.  Working in the yard today and missed French Open finals.\n"]
[977, "omg today we had the sport day  i was soo tired. my leg hurts really bad! we played football  and we winned at   yay!!!\n"]
[998, "well i said any kind of relation then we got  then today i said another relation and got.. footballl\n"]
[1004, "am sad to say i didn't get my results today somehow the  forgot to mail my results to me?? Typical. Ugh\n"]
[1036, "\" I have rehearsals 10-4 today\n"]
[1057, "life is taking a lot of energy out of me atm. working today with a girl i hate! and have to usher children into sunday  to sing...\n"]
[1060, "not a happy bunny today i have to go to  in 6 mins ......... sucks!\n"]
[1103, "\" today is the day!! Last  day!  i have my costume on and ready\n"]
[1126, "#tweet lessons to be held later today  all #tweetteachers #tweettrainers and #tweetstudents invited &amp; welcomed\n"]
[1210, "@   6 other subjects left for today\n"]
[1226, "@2NiteBoy dunno... just don't feel well today  but I HAVE to go to  'cause of the test :/\n"]
[1229, "@30STMluva. I'm so depressed cuz today was the last day of ! This sucks soo much!\n"]
[1267, "@ajphizzles didnt come to  today bc he was too 'occupied' in the bathroom.\n"]
[1367, "@andyclemmensen you called me today but because i live in w.a i was still in   please can you call me again? xxx\n"]
[1474, "@BlackMambaSwag I'm great!!! my lili cousin graduated from high  today *tear* I'm soooooo proud of her\n"]
[1625, "*alert* one of my fave s is on the five heartbeats yay and I thought today couldn't get any better  http://myloc.me/4Kby\n"]
[1773, "@adiemusfree the trailer brought tears to my eyes! I bought the soundtrack on #iTunes today &amp; will preview the  via #netflix  Yay!!!\n"]
[1783, "\"@Agilesmusic it's supposed to rain here today\n"]
[1987, "@ben_wiebe I am going to watch another X-Men  today I think. It'll be my dinner entertainment\n"]
[2042, "@Christina1973 Nephew playing  today\n"]
[2094, "\"@kev_mck Went to a  game today w/a bunch of people from work. Had a great time... rained on us\n"]
[2282, "\"got offered my dream job today that combines\n"]
[2285, "Got some sun today at the  games which resulted in a farmer tan! Kinda ruins the sundress I'm supposed to wear tomorrow!\n"]
[2306, "he asked me today cause joe would b driving.lol and practically the whole  team is takeing ppl and going.\n"]
[2309, "full day of  today\n"]
[2466, "Looking forward to  today but it's raining  Go Gators!\n"]
[2478, "\"Off to son's  tournament this morning....pray he wins today\n"]
[2491, "No youth  games today here..rained out\n"]
[2492, "Not going to the  game with dakota today  but im watching brandon at 3.\n"]
[375, "I have passed 70-542 exam today\n"]
[422, "cars being inspected today gonna cost me over 600 dollars\n"]
[485, "am sad to say i didn't get my results today somehow the school forgot to mail my results to me?? Typical. Ugh\n"]
[636, "twitter wont let me send replies today - boo hoo\n"]
[738, "- @ work.. || Only 5 hours of it today and then weeeekend!  Can't wait for the long weekend to begin! Gonna get some things done for sure!\n"]
[817, "- certification test #2 at 8:30 this morning. Feeling much better about this one today\n"]
[881, "- @hannahradford is taking me to lunch today\n"]
[989, "\" forgot XBL was off today\n"]
[1051, "' @vangeest We are perfectly on schedule' - Nobody is waisting time today  (Don't mention the Sun again;) Dedicated audience\n"]
[1353, "At least today is ok.\n"]
[1446, "\" i felt so sick today\n"]
[1681, "didnt sticth today cos was reading on wattpad LOL\n"]
[1690, "i look so beautiful today lol(in my dreams) and yet there is nobody around who wants to do anything\n"]
[1760, "everyone from home is going to the beach today &amp; I'm stuck in philly\n"]
[1818, "i no feels good today\n"]
