[7, "cannot hear the new  due to geographic location. i am geographically undesirable. and tune-less\n"]
[127, "&quot;Good Girls Go Bad&quot; - Cobra Starship (feat. Leighton Meester): my new favorite\n"]
[287, "@30SECONDSTOMARS cant wait for your new album! love doing acoustic versions of your s! especially the kill!!\n"]
[296, "@1045CHUMFM Play a  from Mandy Moore's new album!  thankss\n"]
[309, "@30SECONDSTOMARS A new video on Kyte with sound and hearing a new   Please join us in Kyte! We have been waiting....\n"]
[355, "@AlexAllTimeLow I'd do the scratch thing for sure  plus the new  is absolutely awesome. thank you. thank you for everything\n"]
[394, "@AlexAllTimeLow I thought those clips of new s were legit. Sorry for listening.\n"]
[397, "@AlexAllTimeLow omg new  is epic!! i can not wait for the new album  \u00e2\u2122\u00a5\n"]
[403, "\"@AlexAllTimeLow nice new\n"]
[433, "\"@ammyliz the new  is good. yay for amberly\n"]
[478, "@AnthonyRaneri you've gone independent and are producing new s in a bandmemers garage?\n"]
[485, "\"@alliekristine yes! The new Hill CD is on repeat in my room\n"]
[488, "@aplusk that was so awesome!  It should be the theme  to the new movie!  Love me some BW\n"]
[581, "\"A new book\n"]
[706, "\"I want new HyperDunkssss!  Still the best  shoe\n"]
[981, "Remember when us new yorkers were proud.of our  team. NY KNICKS. Back in our latrell sprewell days. DAMN.\n"]
[1009, "..i forgot to bring my new sharpie pens to  today..booo!\n"]
[1610, "#mtvawards tonight.... which means new moon trailer!!  cant wait!!!!\n"]
[1873, "\"@antipyronympho the new BSG  for Melanie  is around 70%\n"]
[1876, "@anz_rocks My tweets are sealed. So there is a new Terminator  coming out. See that guy...??\n"]
[1879, "@aplusk can u post whether r not ur workin on any new s r tv?? we miss our Ashton!!\n"]
[1881, "@aplusk hi what's new with you?new s to come?i'm from philippines\n"]
[1884, "@aplusk that was so awesome!  It should be the theme song to the new !  Love me some BW\n"]
[1897, "@aplusk Yes!  Abrazos rotos the new Pedro Almodovar' Movie     Spanish s are the best!\n"]
[2150, "@siiiera something new pertains to talkin to a lightskinned pretty boy  player..  hahaha\n"]
[2251, "Fathers Day brought a new name for my boat and matching  caps for all - Fenntastic  pretty cool. Too rainy for boating though\n"]
[2310, "Full of alfredo watchin  at joshs new apt.\n"]
[2437, "Just stopped by at my brother's  game. Now boring grocery shopping. Got a new graziano necklace though\n"]
[96, "Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....\n"]
[97, "My new car was stolen....by my mother who wanted to go pose at church.\n"]
[227, "@mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC\n"]
[394, "@xxkirahxx is fulfilling my life's ambition 2 go 2 a Jonas Brothers concert + I went 2 HMV and the new album is already sold out! Why me?\n"]
[405, "50% of the new footwear labeling norm is definitions that are never referred to in the document. Who wrote this up?\n"]
[427, "\"  found a new way to text him\n"]
[445, "is listenin to my new fav band more amor\n"]
[686, "..i forgot to bring my new sharpie pens to school today..booo!\n"]
[1112, "6........tomorrow's  a new day...\n"]
[1155, "68 new results in 5 minutes; replies for @DavidArchie.  He'll never get a chance to reply.\n"]
[1316, "I can't get my new picture to show up\n"]
[1382, "bit disapponted with new DM album. Hope it's a grower.\n"]
[1448, "I forgot to bring my new Allegra D 12 hour to work today... so Singulair and I are flying solo today!\n"]
[1507, "cannot hear the new song due to geographic location. i am geographically undesirable. and tune-less\n"]
[1675, "Didn't bring connector for camera on trip...saving new photos will have to wait another week...\n"]
[1702, "i loved the new calf\n"]
[1720, "I need a new Ipod!! This freaking thing won't Sync anymore!!! Anywho......Hoping the Magics make a run for the W!!!\n"]
[1880, "\" everybody that has my number and my BBM my phone is not working so will be getting a new phone on thursday.. THIS SUCKS\n"]
[1884, "Everything went as planned!!! Now I have many many many new souvenirs from #Herschel and #Planck\n"]
[1889, "Excited about purchasing my new MacBook Pro - should be here in a few days\n"]
[1909, "Finally! I finished a new item in my striped colorful knitted line! Want to see it? =&gt;&gt; http://bit.ly/UZtpT\n"]
[1980, "im almost done with this portrait. woo. hmm.. maybe i should draw andrew bisante with my new pastels !!\n"]
[1998, "- finally catching the new episode of college hill.\n"]
