[1, "I want to write a . I think I will.\n"]
[45, "\"#ASOT400 I think Marcus Shultz melted some face.  I gotta admit\n"]
[125, "\"&quot;funny the way it is if u think about it someone's broken heart has become ur favorite &quot; perfect for @ddlovato\n"]
[175, "&quot;you think yo shit don't smell? but you are mrs. P-u&quot; Lil Wayne sounds the same in ALL his s\n"]
[208, "\"... I think this  is in 3/4 time but ARGH I can't quite tell... Damn my talent of musical instinct\n"]
[258, "@___radioactivex i think i myt listen to one for the radio that  haz a buzz\n"]
[348, "@AlanCarr Damn that was my first choice  Most upbeat  I can think of is Terrorvision &quot;Tequila&quot;....\n"]
[387, "\"@alylyflowers haha.. i won't this time. i always think it's gonna b different but it never is. btw.. i love that\n"]
[401, "@AlexAllTimeLow I think you should come and visit me and sing me a\n"]
[555, "@JustPotts that would be a negative...lol.. I think I can handle the so called ' world' with out you lil boy!.\n"]
[702, "I think i can't do  tomorrow sorry guys\n"]
[722, "I think I'm going to have to retire the  shorts I've had for about seven years.\n"]
[935, "\"http://ping.fm/p/EeKYP - That's the last time I'm playing  in a while. I don't think I broke my ankle\n"]
[1370, "@AnhHoang We're glad too!  SO you think you'll make it to one of the s then? You have a ideal candidate?\n"]
[1445, "\"@bevinkathryn Ok.  Yeah I think I'll buy MuggleNet's book after  tomorrow\n"]
[1471, "@bradiewebbstack shutup  i have ; but i hav a chicken sandwich  i think you should totally reply since i have to go to\n"]
[1504, "@Aimee_B_Loved I think there may be a connection between Paul Reubens and the reason why  theater fl.. http://tr.im/nfKO\n"]
[1917, "@ashleymelchert No... I haven't watched the old TMNT s yet... I think I'll wait to see it with you.\n"]
[2070, "@jaaquino I do think Nick was into pokemon. Nobody trades  cards anymore.\n"]
[2131, "@phillymac he's gonna be into a LOT of sports growing up!!  but i think  players are cuter..so i have to go with that\n"]
[2158, "@TigerGoesRoar  Interesting. VA isn't one I'm familiar with in . We obviously both play Ole Miss. I think I'd rather Ole Miss (SEC\n"]
[2198, "ASU  team- Just lost to Texas- I think I am going to cry\n"]
[2314, "Hanging @ Mill Creek with the  players...however i think ita gonna rain\n"]
[2335, "\"Hmm. I think I'll go to the Royals v. White Sox one. That's the one 3 huge  fans told me to choose\n"]
[2347, "I don't think we are having  tonight. Sorry boys\n"]
[2381, "I think vampires are playing  somewhere...\n"]
[4, "i think mi bf is cheating on me!!!       T_T\n"]
[10, "I must think about positive..\n"]
[31, "i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today\n"]
[71, "I think I may be too friendly...lol... o well...\n"]
[72, "I think Manuel (my Basil plant) only has days to live\n"]
[259, "i think my bf is cheating on me!!!!\n"]
[289, "i think i'm going to go 3 a long drive then when i get to the pacific ocean open my car door and throw my pc in the ocean\n"]
[378, "I want to write a song. I think I will.\n"]
[522, "\"  i need to think of something else\n"]
[680, ".... i think i lost my spanish book!! :-X\n"]
[696, "@Aimee_B_Loved I think there may be a connection between Paul Reubens and the reason why movie theater fl.. http://tr.im/nfKO\n"]
[886, "@joeschmitt Twitter maintenance on a Friday night? They really haven't been listening if they think we wo.. http://tr.im/nDkq\n"]
[925, "- Every so often I catch my own reflection &amp; think .. Now that's one cool son-of-a-b*tch .. today's one of those days\n"]
[1038, "@rabbitroodle  I think I've won the battle over the impending *crud*. Enjoy your drive this AM\n"]
[1039, "- @rainboweffect Crickey can't think that far ahead - think getting to 2009 followers is pretty ambitious\n"]
[1081, "Got new photoshop magazine but I need my Dad's portable CD drive to use the CD with the pics on it D: I think I'm stuck there tomorrow\n"]
[1429, "I don't think my dog is gonna make it past the night\n"]
[1430, "i dont think yoru there... bummma\n"]
[1548, "computer overheatedd. I think i smell burning laptop...\n"]
[1581, "i hope i dont have any weird brain problem or disease  i think ill be fine though. the nurse doesnt sound too worried.\n"]
[1748, "ehhh startin to think this is not for me\n"]
[1835, "i think i gain another 4kg\n"]
[1836, "i think i need a drink\n"]
[1839, "I think its work time\n"]
[1840, "I think my friend has swine flu... FOR REAL  he's in the hospital.\n"]
[1841, "i think my trachea is infected again.\n"]
[1885, "everythings so fucking chilled atm  loving life right this minute. ooo dj am and trvs ayeeeeeeee i think sooo  FIX YOUR FACE 14 FTW.\n"]
[1890, "Excited. Dont think i will sleep tonight!\n"]
