[108, "#bgt not the best  for her\n"]
[212, "&quot;more than anything&quot; best  from Hill  United. hint hint @sandalschurch\n"]
[216, "&quot;Smooth Criminal&quot; -------&gt; best MJ  to dance to! Haha.\n"]
[246, "? heart of life - john mayer. best  ever!!! this guy is sooo good!!  http://tr.im/m5wZ\n"]
[264, "? @elafaki best  ever about Friday  http://tr.im/m5Eb\n"]
[265, "? is thinking that Dat New New (VIKING remix) is the best  ever.  http://tr.im/lAU9\n"]
[304, "@2bellas thank you! It's probably the best  I ever wrote! Wait 'til the movie comes out in 2 1/2 years\n"]
[324, "@977983KWIN I loooove that !    you the best i eva had.... best i eva had.... best i eva had! have a good night Jaytee\n"]
[585, "\"#lebron best athlete of our generation\n"]
[664, "Goal this week: update men's  record book as best as possible. A lot of sections will only be since 2003\n"]
[1160, ".. i am going to fail my art final. FML. this was by far the worst semester of my life  wise- otherwise it was the best\n"]
[1568, "#NewMoon is going to change the world. its hoing to be the best  of 2009.  reading the book AGAIN!\n"]
[1670, "? Twilight - best romantic  ever\n"]
[1727, "@2bellas thank you! It's probably the best song I ever wrote! Wait 'til the  comes out in 2 1/2 years\n"]
[1867, "@annna86 In deed! the  won best overall  in HK\n"]
[2008, "\"&lt;3my best friends: jennie Ashleigh teresa mimi&amp; danny  banquet\n"]
[2079, "@jutecht btw...loved your  post...this is definitely best time of year...was disappointed red sox opener was rained out...\n"]
[2163, "@Trumping no!  is the best sport to watch! go Red Sox!\n"]
[432, "He was the best there.\n"]
[462, "abt missing Air France plane. Follow here for best air news source:  http://tinyurl.com/m2p6yk\n"]
[1144, "and I dunno why but with you I'd dance in a storm in my best dress.\n"]
